PDBFile,Score
model.006.24,6751.269860775965
model.004.07,6673.515421274049
model.002.19,6642.557495693591
model.006.23,6613.234693846937
model.004.00,6669.132109276842
model.002.17,6655.928783517978
model.004.09,6642.539205817937
model.002.10,6630.505521735034
model.002.25,6665.18430977153
model.000.06,6665.18430977153
model.002.22,6602.946682281601
model.000.01,6637.089623237952
model.006.18,6660.652049336205
model.006.16,6817.438719981338
model.006.11,6649.490625019651
model.000.08,6573.346557789185
model.006.00,6641.9533668606655
model.004.23,6787.840030238169
model.000.19,6743.9205498685815
model.006.07,6627.598773376774
model.004.24,6677.413711247113
model.000.10,6756.213503425628
model.006.09,6604.169159452493
model.000.17,6678.836482052393
model.004.18,6510.917648879442
model.002.01,6637.089623237952
model.000.22,6608.225991613526
model.002.06,6608.142225936483
model.000.25,6655.146649442586
model.002.08,6698.635998105934
model.004.11,6647.53423963083
model.004.16,6698.2875176004545
model.006.10,6580.510758689418
model.000.09,6601.702072992871
model.006.17,6592.874787271093
model.002.23,6722.455528227266
model.000.00,6624.048069304657
model.006.19,6675.430223561037
model.002.24,6633.772433551874
model.000.07,6570.895365789762
model.004.08,6655.928783517978
model.002.11,6925.817041859607
model.002.16,6858.42686144164
model.002.18,6699.467877174211
model.006.22,6606.024574227683
model.004.01,6714.074814426816
model.006.25,6643.565130303928
model.004.06,6736.063606186346
model.004.17,6708.053291309024
model.002.09,6606.2559146583535
model.004.10,6647.376551944685
model.002.07,6656.095835104529
model.000.24,6718.603282288635
model.004.19,6635.1800582809665
model.002.00,6624.048069304657
model.000.23,6655.928783517978
model.000.16,6624.711625589227
model.000.11,6647.901205281095
model.006.08,6657.897171021981
model.006.06,6628.461961915476
model.004.25,6570.895365789762
model.006.01,6638.587523888064
model.004.22,6670.696428395855
model.000.18,6744.688774588245
model.000.29,6722.455528227266
model.004.13,6546.363191620807
model.004.14,6711.119258160123
model.002.03,6662.428767847024
model.000.20,6695.912701962984
model.002.04,6573.346557789185
model.000.27,6655.436289610054
model.000.12,6713.086455539168
model.004.28,6745.246735600774
model.000.15,6657.791363534876
model.006.02,6654.702576683643
model.004.21,6623.6002110852
model.006.05,6620.390987848916
model.004.26,6675.207238159708
model.006.14,6624.1992939844295
model.006.13,6613.321408155458
model.002.29,6615.552601032841
model.002.27,6636.003940801231
model.000.04,6781.176798346327
model.002.20,6575.77553894989
model.000.03,6580.044826597637
model.002.15,6570.895365789762
model.006.28,6611.791838831471
model.002.12,6626.757082933295
model.006.26,6657.509572417419
model.004.05,6613.152373476334
model.006.21,6618.931287139995
model.004.02,6709.265497274966
model.006.04,6709.704709353596
model.004.27,6809.393449616979
model.006.03,6571.1768824341625
model.004.20,6670.225673177056
model.000.14,6651.547785761422
model.000.13,6724.092155229862
model.004.29,6754.916530115899
model.002.05,6663.9010590707585
model.000.26,6661.755626060831
model.002.02,6718.872562564214
model.000.21,6570.962163013385
model.004.15,6651.734786189427
model.000.28,6712.048977780632
model.004.12,6721.1033397194715
model.006.20,6666.373098199912
model.004.03,6638.637880634855
model.006.27,6634.28299624152
model.004.04,6845.367890162553
model.006.29,6672.367363219691
model.002.13,6601.702072992871
model.002.14,6781.176798346327
model.002.21,6702.736646025278
model.000.02,6642.539205817937
model.002.26,6642.163925673563
model.000.05,6676.497935118141
model.006.12,6563.973688310356
model.002.28,6726.291781898143
model.006.15,6557.55141047795
